ก.	k @@ 
ชาวเกาะ	ch aa w^ k @ 
ชาวเขา	ch aa w^ kh a w^ 
ชาวเมือง	ch aa w^ m vva ng^ 
ชาวไทย	ch aa w^ th a j^ 
ชาวไร่	ch aa w^ r a j^ 
ชำนาญ	ch a m^ n aa n^ 
ชำนิชำนาญ	ch a m^ n i ch a m^ n aa n^ 
ชำระ	ch a m^ r a 
ชิง	ch i ng^ 
ชิงชัง	ch i ng^ ch a ng^ 
ชิด	ch i t^ 
ชิดชอบ	ch i t^ ch @@ p^ 
ชิดพงษ์	ch i t^ ph o ng^ 
ชิลี	ch i l ii 
ชิ้น	ch i n^ 
ชิ้นส่วน	ch i n^ s uua n^ 
ชีพ	ch ii p^ 
ชีพจร	ch ii p^ ph a c @@ n^ 
ชีวภาพ	ch ii w a ph aa p^ 
ชีววิทยา	ch ii w a w i t^ th a j aa 
ชีวิต	ch ii w i t^ 
ชีวิตชีวา	ch ii w i t^ ch ii w aa 
ชีวเคมี	ch ii w a kh ee m ii 
ชี้	ch ii 
ชี้ขาด	ch ii kh aa t^ 
ชี้นำ	ch ii n a m^ 
ชี้แจง	ch ii c xx ng^ 
ชื่นชม	ch vv n^ ch o m^ 
ชื่อ	ch vv 
ชื่อดัง	ch vv d a ng^ 
ชื่อเสียง	ch vv s iia ng^ 
ชุกชุม	ch u k^ ch u m^ 
ชุณหะวัณ	ch u n^ h a w a n^ 
ชุด	ch u t^ 
ชุดคำสั่ง	ch u t^ kh a m^ s a ng^ 
ชุมชน	ch u m^ ch o n^ 
ชุมนุม	ch u m^ n u m^ 
ชุมแพ	ch u m^ ph xx 
ชูศักดิ์	ch uu s a k^ 
ชู้สาว	ch uu s aa w^ 
ช่วง	ch uua ng^ 
ช่วงชิง	ch uua ng^ ch i ng^ 
ช่วย	ch uua j^ 
ช่วยเหลือ	ch uua j^ l vva 
ช่อง	ch @@ ng^ 
ช่องทาง	ch @ ng^ th aa ng^ 
ช่องว่าง	ch @ ng^ w aa ng^ 
ช่าง	ch a ng^ 
ช้า	ch aa 
ช้าง	ch aa ng^ 
ช้านาน	ch aa n aa n^ 
ซอย	s @@ j^ 
ซอสสมา	s @@ t^ s a m aa 
ซักถาม	s a k^ th aa m^ 
ซัดดัม	s a t^ d a m^ 
ซับซ้อน	s a p^ s @@ n^ 
ซาบซึ้ง	s aa p^ s v ng^ 
ซาร์ทร์	s aa t^ 
ซาลิน่า	s aa l i n aa 
ซาอุดิอาระเบีย	s aa z u d i z aa r a b iia 
ซิ	s i 
ซิซิลี	s i s i l ii 
ซี	s ii 
ซีก	s ii k^ 
ซีกโลก	s ii k^ l oo k^ 
ซีพี	s ii ph ii 
ซีไรต์	s ii r a j^ 
ซึม	s v m^ 
ซึ่ง	s v ng^ 
ซึ่งกันและกัน	s v ng^ k a n^ l x k a n^ 
ซื่อ	s vv 
ซื่อตรง	s vv tr o ng^ 
ซื่อสัตย์	s vv s a t^ 
ซื้อ	s vv 
ซื้อขาย	s vv kh aa j^ 
ซื้อหา	s vv h aa 
ซุก	s u k^ 
ซุกซ่อน	s u k^ s @@ n^ 
ซ่อนเร้น	s @@ n^ r e n^ 
ซ่อม	s @ m^ 
ซ่อมแซม	s @ m^ s xx m^ 
ซ้อน	s @@ n^ 
ซ้าย	s aa j^ 
ซ้ำ	s a m^ 
ซ้ำซ้อน	s a m^ s @@ n^ 
ซ้ำร้าย	s a m^ r aa j^ 
ญัตติ	j a t^ t i 
ญาณ	j aa n^ 
ญาติ	j aa t^ 
ญี่ปุ่น	j ii p u n^ 
ฐาน	th aa n^ 
ฐานกรณ์	th aa n^ k @@ n^ 
ฐานะ	th aa n a 
ณรงค์	n a r o ng^ 
ดงใหญ่	d o ng^ j a j^ 
ดนตรี	d o n^ tr ii 
ดม	d o m^ 
ดวง	d uua ng^ 
ดวงดาว	d uua ng^ d aa w^ 
ดวงมน	d uua ng^ m o n^ 
ดวงอาทิตย์	d uua ng^ z aa th i t^ 
ดอก	d @@ k^ 
ดอกไม้	d @@ k^ m aa j^ 
ดอน	d @@ n^ 
ดอลลาร์	d @ n^ l aa 
ดอสโตเยฟสกี	d @@ t^ t oo j ee p^ s a k ii 
ดัก	d a k^ 
ดัง	d a ng^ 
ดังกล่าว	d a ng^ kl aa w^ 
ดังต่อไปนี้	d a ng^ t @@ p a j^ n ii 
ดังที่	d a ng^ th ii 
ดังนั้น	d a ng^ n a n^ 
ดังนี้	d a ng^ n ii 
ดังเดิม	d a ng^ d qq m^ 
ดัดแปลง	d a t^ pl xx ng^ 
ดัตช์	d a t^ 
ดับทุกข์	d a p^ th u k^ 
ดั่ง	d a ng^ 
ดั่งนี้	d a ng^ n ii 
ดั้งเดิม	d a ng^ d qq m^ 
ดาราศาสตร์	d aa r aa s aa t^ 
ดาว	d aa w^ 
ดำ	d a m^ 
ดำรง	d a m^ r o ng^ 
ดำเนิน	d a m^ n qq n^ 
ดำเนินการ	d a m^ n qq n^ k aa n^ 
ดำเนินงาน	d a m^ n qq n^ ng aa n^ 
ดิฉัน	d i ch a n^ 
ดิน	d i n^ 
ดินแดน	d i n^ d xx n^ 
ดิษฐพันธุ์	d i t^ th a ph a n^ 
ดิเรก	d i r ee k^ 
ดิ่ง	d i ng^ 
ดิ้น	d i n^ 
ดิ้นรน	d i n^ r o n^ 
ดี	d ii 
ดีดีที	d ii d ii th ii 
ดีเด่น	d ii d e n^ 
ดีใจ	d ii c a j^ 
ดึก	d v k^ 
ดึกดำบรรพ์	d v k^ d a m^ b a n^ 
ดึง	d v ng^ 
ดื่ม	d vv m^ 
ดื้อดึง	d vv d v ng^ 
ดุ	d u 
ดุจ	d u t^ 
ดุน	d u n^ 
ดุล	d u n^ 
ดุลพินิจ	d u n^ ph i n i t^ 
ดุลยภาพ	d u n^ l a j a ph aa p^ 
ดุลอำนาจ	d u n^ z a m^ n aa t^ 
ดุเดือด	d u d vva t^ 
ดุ้น	d u n^ 
ดู	d uu 
ดูจะ	d uu c a 
ดูด	d uu t^ 
ดูถูก	d uu th uu k^ 
ดูหมิ่น	d uu m i n^ 
ดูเหมือน	d uu m vva n^ 
ดูเหมือนว่า	d uu m vva n^ w aa 
ดูแล	d uu l xx 
ด็อกเตอร์	d @ k^ t qq 
ด็อกเตอร์	d o k^ t qq 
ด่วน	d uua n^ 
ด่าง	d aa ng^ 
ด้น	d o n^ 
ด้วย	d uua j^ 
ด้วยว่า	d uua j^ w aa 
ด้วยเหตุที่	d uua j^ h ee t^ th ii 
ด้วยเหตุนี้	d uua j^ h ee t^ n ii 
ด้อย	d @ j^ 
ด้อย	d @@ j^ 
ด้อยพัฒนา	d @ j^ ph a t^ th a n aa 
ด้าน	d aa n^ 
ตก	t o k^ 
ตกต่ำ	t o k^ t a m^ 
ตกทอด	t o k^ th @@ t^ 
ตกยาก	t o k^ j aa k^ 
ตกลง	t o k^ l o ng^ 
ตกใจ	t o k^ c a j^ 
ตน	t o n^ 
ตนเอง	t o n^ z ee ng^ 
ตรง	tr o ng^ 
ตรงกันข้าม	tr o ng^ k a n^ kh aa m^ 
ตรงข้าม	tr o ng^ kh aa m^ 
ตรงไปตรงมา	tr o ng^ p a j^ tr o ng^ m aa 
ตรรกวิทยา	t a k^ k a w i t^ th a j aa 
ตรวจ	tr uua t^ 
ตรวจการณ์	tr uua t^ k aa n^ 
ตรวจจับ	tr uua t^ c a p^ 
ตรวจสอบ	tr uua t^ s @@ p^ 
ตระกูล	tr a k uu n^ 
ตระหนก	tr a n o k^ 
ตระหนัก	tr a n a k^ 
ตระเตรียม	tr a tr iia m^ 
ตรัส	tr a t^ 
ตรา	tr aa 
ตราบ	tr aa p^ 
ตราหน้า	tr aa n aa 
ตรี	tr ii 
ตรุษจีน	tr u t^ c ii n^ 
ตลก	t a l o k^ 
ตลอด	t a l @@ t^ 
ตลอดจน	t a l @@ t^ c o n^ 
ตลอดมา	t a l @@ t^ m aa 
ตลอดไป	t a l @@ t^ p a j^ 
ตลาด	t a l aa t^ 
ตลาดมืด	t a l aa t^ m vv t^ 
ตวง	t uua ng^ 
ตอน	t @@ n^ 
ตอนนั้น	t @@ n^ n a n^ 
ตอนนี้	t @@ n^ n ii 
ตอนแรก	t @@ n^ r xx k^ 
ตอบ	t @@ p^ 
ตอบสนอง	t @@ p^ s a n @@ ng^ 
ตอบแทน	t @@ p^ th xx n^ 
ตอบโต้	t @@ p^ t oo 
ตะกวด	t a k uua t^ 
ตะกั่ว	t a k uua 
ตะราง	t a r aa ng^ 
ตะวัน	t a w a n^ 
ตะวันตก	t a w a n^ t o k^ 
ตะวันออก	t a w a n^ z @@ k^ 
ตะวันออกกลาง	t a w a n^ z @@ k^ kl aa ng^ 
ตะวันออกเฉียงเหนือ	t a w a n^ z @@ k^ ch iia ng^ n vva 
ตะวันออกเฉียงใต้	t a w a n^ z @@ k^ ch iia ng^ t aa j^ 
ตะเข็บ	t a kh e p^ 
ตัก	t a k^ 
ตักตวง	t a k^ t uua ng^ 
ตักเตือน	t a k^ t vva n^ 
ตัณหา	t a n^ h aa 
ตัด	t a t^ 
ตัดสิน	t a t^ s i n^ 
ตัดสินใจ	t a t^ s i n^ c a j^ 
ตัน	t a n^ 
ตับ	t a p^ 
ตัว	t uua 
ตัวการ	t uua k aa n^ 
ตัวตน	t uua t o n^ 
ตัวนำ	t uua n a m^ 
ตัวประกอบ	t uua pr a k @@ p^ 
ตัวละคร	t uua l a kh @@ n^ 
ตัวสะกด	t uua s a k o t^ 
ตัวหนังสือ	t uua n a ng^ s vv 
ตัวอย่าง	t uua j aa ng^ 
ตัวอ่อน	t uua z @@ n^ 
ตัวเมือง	t uua m vva ng^ 
ตัวเลข	t uua l ee k^ 
ตัวเอก	t uua z ee k^ 
ตัวเอง	t uua z ee ng^ 
ตัวแทน	t uua th xx n^ 
ตัวแปร	t uua pr xx 
ตั้ง	t a ng^ 
ตั้งมั่น	t a ng^ m a n^ 
ตั้งอยู่	t a ng^ j uu 
ตั้งแต่	t a ng^ t xx 
ตั้งใจ	t a ng^ c a j^ 
ตา	t aa 
ตาด	t aa t^ 
ตาทัพ	t aa th a p^ 
ตาม	t aa m^ 
ตามพรลิงค์	t aa m^ ph @@ n^ l i ng^ 
ตามแต่	t aa m^ t xx 
ตามใจ	t aa m^ c a j^ 
ตาย	t aa j^ 
ตายตัว	t aa j^ t uua 
ตาราง	t aa r aa ng^ 
ตำนาน	t a m^ n aa n^ 
ตำรวจ	t a m^ r uua t^ 
ตำรับตำรา	t a m^ r a p^ t a m^ r aa 
ตำรา	t a m^ r aa 
ตำหนัก	t a m^ n a k^ 
ตำหนิ	t a m^ n i 
ตำแหน่ง	t a m^ n x ng^ 
ตำแหน่ง	t a m^ n xx ng^ 
ติณสูลานนท์	t i n^ n a s uu l aa n o n^ 
ติด	t i t^ 
ติดขัด	t i t^ kh a t^ 
ติดตั้ง	t i t^ t a ng^ 
ติดตาม	t i t^ t aa m^ 
ติดต่อ	t i t^ t @@ 
ติดยา	t i t^ j aa 
ติเตียน	t i t iia n^ 
ตี	t ii 
ตีความ	t ii khw aa m^ 
ตีน	t ii n^ 
ตีพิมพ์	t ii ph i m^ 
ตีแผ่	t ii ph xx 
ตึก	t v k^ 
ตึงเครียด	t v ng^ khr iia t^ 
ตื่น	t vv n^ 
ตื่นตัว	t vv n^ t uua 
ตื่นเต้น	t vv n^ t e n^ 
ตื้น	t vv n^ 
ตุลาการ	t u l aa k aa n^ 
ตุลาคม	t u l aa kh o m^ 
ตุ่ม	t u m^ 
ต่อ	t @@ 
ต่อจากนั้น	t @@ c aa k^ n a n^ 
ต่อต้าน	t @@ t aa n^ 
ต่อม	t @ m^ 
ต่อม	t @@ m^ 
ต่อมา	t @@ m aa 
ต่อรอง	t @@ r @@ ng^ 
ต่อสู้	t @@ s uu 
ต่อเนื่อง	t @@ n vva ng^ 
ต่อเมื่อ	t @@ m vva 
ต่อไป	t @@ p a j^ 
ต่อไปนี้	t @@ p a j^ n ii 
ต่าง	t aa ng^ 
ต่างกัน	t aa ng^ k a n^ 
ต่างจังหวัด	t aa ng^ c a ng^ w a t^ 
ต่างชาติ	t aa ng^ ch aa t^ 
ต่างประเทศ	t aa ng^ pr a th ee t^ 
ต่างหาก	t aa ng^ h aa k^ 
ต่ำ	t a m^ 
ต่ำสุด	t a m^ s u t^ 
ต้น	t o n^ 
ต้นกำเนิด	t o n^ k a m^ n qq t^ 
ต้นฉบับ	t o n^ ch a b a p^ 
ต้นทุน	t o n^ th u n^ 
ต้นน้ำ	t o n^ n aa m^ 
ต้นเหตุ	t o n^ h ee t^ 
ต้นแบบ	t o n^ b xx p^ 
ต้นไม้	t o n^ m aa j^ 
ต้วมเตี้ยม	t uua m^ t iia m^ 
ต้อ	t @@ 
ต้อง	 t @ ng^ 
ต้อง	t @ ng^ 
ต้องกัน	t @ ng^ k a n^ 
ต้องการ	t @ ng^ k aa n^ 
ต้องห้าม	t @ ng^ h aa m^ 
ต้อนรับ	t @@ n^ r a p^ 
ต้านทาน	t aa n^ th aa n^ 
ถกเถียง	th o k^ th iia ng^ 
ถดถอย	th o t^ th @ j^ 
ถนน	th a n o n^ 
ถนอม	th a n @@ m^ 
ถนัด	th a n a t^ 
ถล่ม	th a l o m^ 
ถวาย	th a w aa j^ 
ถอน	th @@ n^ 
ถอย	th @ j^ 
ถัด	th a t^ 
ถากถาง	th aa k^ th aa ng^ 
ถาม	th aa m^ 
ถาวร	th aa w @@ n^ 
ถิ่น	th i n^ 
ถิ่นฐาน	th i n^ th aa n^ 
ถีบ	th ii p^ 
ถี่	th ii 
ถี่ถ้วน	th ii th uua n^ 
ถึง	th v ng^ 
ถึงกระนั้น	th v ng^ kr a n a n^ 
ถึงแม้	th v ng^ m xx 
ถึงแม้ว่า	th v ng^ m xx w aa 
ถือ	th vv 
ถือกำเนิด	th vv k a m^ n qq t^ 
ถูก	th uu k^ 
ถูกต้อง	th uu k^ t @ ng^ 
ถ่วง	th uua ng^ 
ถ่องแท้	th @ ng^ th xx 
ถ่ายทอด	th aa j^ th @@ t^ 
ถ่ายเท	th aa j^ th ee 
ถ่ายแบบ	th aa j^ b xx p^ 
ถ้วนหน้า	th uua n^ n aa 
ถ้อย	th @ j^ 
ถ้อย	th @@ j^ 
ถ้อยคำ	th @ j^ kh a m^ 
ถ้า	th aa 
ถ้าหากว่า	th aa h aa k^ w aa 
ทดลอง	th o t^ l @@ ng^ 
ทดสอบ	th o t^ s @@ p^ 
ทดแทน	th o t^ th xx n^ 
ทน	th o n^ 
ทนทาน	th o n^ th aa n^ 
ทบทวน	th o p^ th uua n^ 
ทบวง	th a b uua ng^ 
ทมยันตี	th o m^ m a j a n^ t ii 
ทยอย	th a j @@ j^ 
ทรง	s o ng^ 
ทรงคุณวุฒิ	s o ng^ kh u n^ n a w u t^ 
ทรงจำ	s o ng^ c a m^ 
ทรงตัว	s o ng^ t uua 
ทรมาน	th @@ r a m aa n^ 
ทรรศนะ	th a t^ s a n a 
ทระนง	th @@ r a n o ng^ 
ทรัพยากร	s a p^ ph a j aa k @@ n^ 
ทรัพย์	s a p^ 
ทรัพย์สิน	s a p^ s i n^ 
ทราบ	s aa p^ 
ทราม	s aa m^ 
ทราย	s aa j^ 
ทรุด	s u t^ 
ทฤษฎี	thr i t^ s a d ii 
ทลาย	th a l aa j^ 
ทวน	th uua n^ 
ทวารวดี	th a w aa r a w a d ii 
ทวิ	th a w i 
ทวี	th a w ii 
ทวีป	th a w ii p^ 
ทว่า	th a w aa 
ทศท.	th @@ s @@ th @@ 
ทศวรรษ	th o t^ s a w a t^ 
ทหาร	th a h aa n^ 
ทหารบก	th a h aa n^ b o k^ 
ทอง	th @@ ng^ 
ทอด	th @@ t^ 
ทอดทิ้ง	th @@ t^ th i ng^ 
ทอน	th @@ n^ 
ทอริโอ	th @@ r i z oo 
ทะนุบำรุง	th a n u b a m^ r u ng^ 
ทะลัก	th a l a k^ 
ทะลุ	th a l u 
ทะเบียน	th a b iia n^ 
ทะเยอทะยาน	th a j qq th a j aa n^ 
ทะเล	th a l ee 
ทะเลทราย	th a l ee s aa j^ 
ทะเลาะ	th a l @ 
ทักทาย	th a k^ th aa j^ 
ทักษะ	th a k^ s a 
ทันที	th a n^ th ii 
ทันสมัย	th a n^ s a m a j^ 
ทับ	th a p^ 
ทัพ	th a p^ 
ทัศนคติ	th a t^ s a n a kh a t i 
ทัศนะ	th a t^ s a n a 
ทั่ว	th uua 
ทั่วถึง	th uua th v ng^ 
ทั่วโลก	th uua l oo k^ 
ทั่วไป	th uua p a j^ 
ทั้ง	th a ng^ 
ทั้งที่	th a ng^ th ii 
ทั้งนั้น	th a ng^ n a n^ 
ทั้งนี้	th a ng^ n ii 
ทั้งปวง	th a ng^ p uua ng^ 
ทั้งมวล	th a ng^ m uua n^ 
ทั้งสิ้น	th a ng^ s i n^ 
ทั้งหมด	th a ng^ m o t^ 
ทั้งหลาย	th a ng^ l aa j^ 
ทาง	th aa ng^ 
ทางการ	th aa ng^ k aa n^ 
ทางสายกลาง	th aa ng^ s aa j^ kl aa ng^ 
ทางออก	th aa ng^ z @@ k^ 
ทางเดิน	th aa ng^ d qq n^ 
ทางเลือก	th aa ng^ l vva k^ 
ทาน	th aa n^ 
ทานากะ	th aa n aa k a 
ทายาท	th aa j aa t^ 
ทารก	th aa r o k^ 
ทารุณ	th aa r u n^ 
ทาส	th aa t^ 
ทำ	th a m^ 
ทำกิน	th a m^ k i n^ 
ทำครัว	th a m^ khr uua 
ทำงาน	th a m^ ng aa n^ 
ทำท่า	th a m^ th aa 
ทำนอง	th a m^ n @@ ng^ 
ทำนองคลองธรรม	th a m^ n @@ ng^ khl @@ ng^ th a m^ 
ทำนา	th a m^ n aa 
ทำนาย	th a m^ n aa j^ 
ทำนุ	th a m^ n u 
ทำมาหากิน	th a m^ m aa h aa k i n^ 
ทำร้าย	th a m^ r aa j^ 
ทำลาย	th a m^ l aa j^ 
ทำลายล้าง	th a m^ l aa j^ l aa ng^ 
ทำเล	th a m^ l ee 
ทำใจ	th a m^ c a j^ 
ทำให้	th a m^ h a j^ 
ทำไม	th a m^ m a j^ 
ทิศ	th i t^ 
ทิศทาง	th i t^ th aa ng^ 
ทิ้ง	th i ng^ 
ที	th ii 
ทีท่า	th ii th aa 
ทีนี้	th ii n ii 
ทีม	th ii m^ 
ทีละ	th ii l a 
ทีเดียว	th ii d iia w^ 
ที่	th ii 
ที่ชัง	th ii ch a ng^ 
ที่ดิน	th ii d i n^ 
ที่ทำการ	th ii th a m^ k aa n^ 
ที่ทำงาน	th ii th a m^ ng aa n^ 
ที่นั่น	th ii n a n^ 
ที่นี่	th ii n ii 
ที่นี้	th ii n ii 
ที่ประชุม	th ii pr a ch u m^ 
ที่ปรึกษา	th ii pr v k^ s aa 
ที่พึ่ง	th ii ph v ng^ 
ที่มั่น	th ii m a n^ 
ที่มา	th ii m aa 
ที่รัก	th ii r a k^ 
ที่สุด	th ii s u t^ 
ที่หมาย	th ii m aa j^ 
ที่อยู่	th ii j uu 
ที่แล้ว	th ii l xx w^ 
ทึ่ง	th v ng^ 
ทุก	th u k^ 
ทุกขัง	th u k^ kh a ng^ 
ทุกข์	th u k^ 
ทุกข์ร้อน	th u k^ r @@ n^ 
ทุกคน	th u k^ kh o n^ 
ทุกที	th u k^ th ii 
ทุกวัน	th u k^ w a n^ 
ทุกวันนี้	th u k^ w a n^ n ii 
ทุกสิ่ง	th u k^ s i ng^ 
ทุกอย่าง	th u k^ j aa ng^ 
ทุจริต	th u t^ c a r i t^ 
ทุจริต	th u c a r i t^ 
ทุติยภูมิ	th u t i j a ph uu m^ 
ทุน	th u n^ 
ทุนทรัพย์	th u n^ n a s a p^ 
ทุนนิยม	th u n^ n i j o m^ 
ทุนเดิม	th u n^ d qq m^ 
ทุ่ง	th u ng^ 
ทุ่ม	th u m^ 
ทุ่มเท	th u m^ th ee 
ทูต	th uu t^ 
ทูน่า	th uu n aa 
ท่วมท้น	th uua m^ th o n^ 
ท่อ	th @@ 
ท่องเที่ยว	th @ ng^ th iia w^ 
ท่องเที่ยว	th @@ ng^ th iia w^ 
ท่าทาง	th aa th aa ng^ 
ท่าที	th aa th ii 
ท่าน	th a n^ 
ท่าม	th aa m^ 
ท่ามกลาง	th aa m^ kl aa ng^ 
ท่าเรือ	th aa r vva 
ท้วงติง	th uua ng^ t i ng^ 
ท้อง	th @@ ng^ 
ท้องถิ่น	th @@ ng^ th i n^ 
ท้องที่	th @@ ng^ th ii 
ท้องเรื่อง	th @@ ng^ r vva ng^ 
ท้อถอย	th @@ th @ j^ 
ท้าทาย	th aa th aa j^ 
ท้าย	th aa j^ 
ท้าว	th aa w^ 
ธนบัตร	th a n a b a t^ 
ธนาคาร	th a n aa kh aa n^ 
ธรรม	th a m^ 
ธรรมชาติ	th a m^ m a ch aa t^ 
ธรรมดา	th a m^ m a d aa 
ธรรมนูญ	th a m^ m a n uu n^ 
ธรรมราชา	th a m^ m a r aa ch aa 
ธรรมราชาลิไท	th a m^ m a r aa ch aa l i th a j^ 
ธรรมศาสตร์	th a m^ m a s aa t^ 
ธรรมะ	th a m^ m a 
ธรรมเนียม	th a m^ n iia m^ 
ธวาณัติก์	th a w aa n a t^ 
ธัญญาหาร	th a n^ j aa h aa n^ 
ธันวาคม	th a n^ w aa kh o m^ 
ธาตุ	th aa t^ 
ธาร	th aa n^ 
ธิดา	th i d aa 
ธีระสวัสดิ์	th ii r a s a w a t^ 
ธุรกิจ	th u r a k i t^ 
ธุระ	th u r a 
ธุลี	th u l ii 
ธูป	th uu p^ 
น.	n @@ 
นก	n o k^ 
นคร	n a kh @@ n^ 
นครนายก	n a kh @@ n^ n aa j o k^ 
นครบาล	n a kh @@ n^ b aa n^ 
นครศรีธรรมราช	n a kh @@ n^ s ii th a m^ m a r aa t^ 
นม	n o m^ 
นมนาน	n o m^ n aa n^ 
นริศรา	n a r i t^ s a r aa 
นริศรานุวัดติวงศ์	n a r i t^ s a r aa n u w a t^ t i w o ng^ 
นวนิยาย	n a w a n i j aa j^ 
นอ	n @@ 
นอก	n @@ k^ 
นอกจาก	n @@ k^ c aa k^ 
นอกจากนั้น	n @@ k^ c aa k^ n a n^ 
นอกจากนี้	n @@ k^ c aa k^ n ii 
นอกทาง	n @@ k^ th aa ng^ 
นอกลู่	n @@ k^ l uu 
นอกเหนือ	n @@ k^ n vva 
นองเลือด	n @@ ng^ l vva t^ 
นอน	n @@ n^ 
นอนหลับ	n @@ n^ l a p^ 
นอบน้อม	n @@ p^ n @@ m^ 
นะ	n a 
นัก	n a k^ 
นักการเมือง	n a k^ k aa n^ m vva ng^ 
นักจิตวิทยา	n a k^ c i t^ t a w i t^ th a j aa 
นักดนตรี	n a k^ d o n^ tr ii 
นักท่องเที่ยว	n a k^ th @ ng^ th iia w^ 
นักธรรม	n a k^ th a m^ 
นักธุรกิจ	n a k^ th u r a k i t^ 
นักบิน	n a k^ b i n^ 
นักปราชญ์	n a k^ pr aa t^ 
นักมวย	n a k^ m uua j^ 
นักมานุษยวิทยา	n a k^ m aa n u t^ s a j a w i t^ th a j aa 
นักรบ	n a k^ r o p^ 
นักร้อง	n a k^ r @@ ng^ 
นักลงทุน	n a k^ l o ng^ th u n^ 
นักวิจัย	n a k^ w i c a j^ 
นักวิจารณ์	n a k^ w i c aa n^ 
นักวิชาการ	n a k^ w i ch aa k aa n^ 
นักวิทยาศาสตร์	n a k^ w i t^ th a j aa s aa t^ 
นักศึกษา	n a k^ s v k^ s aa 
นักหนา	n a k^ n aa 
นักอ่าน	n a k^ z aa n^ 
นักเขียน	n a k^ kh iia n^ 
นักเรียน	n a k^ r iia n^ 
นักโทษ	n a k^ th oo t^ 
นัด	n a t^ 
นัดหมาย	n a t^ m aa j^ 
นับ	n a p^ 
นับถือ	n a p^ th vv 
นับแต่	n a p^ t xx 
นัย	n a j^ 
นัย	n a j^ j a 
นัยสำคัญ	n a j^ j a s a m^ kh a n^ 
นั่ง	n a ng^ 
นั่น	n a n^ 
นั่นเอง	n a n^ z ee ng^ 
นั้น	n a n^ 
นา	n aa 
นาค	n aa k^ 
นาง	n aa ng^ 
นางเอก	n aa ng^ z ee k^ 
นาจิบุลลาห์	n aa c i b u n^ l aa 
นาฏศิลป์	n aa t^ t a s i n^ 
นาที	n aa th ii 
นาน	n aa n^ 
นานา	n aa n aa 
นานาชาติ	n aa n aa ch aa t^ 
นาปรัง	n aa pr a ng^ 
นาม	n aa m^ 
นามธรรม	n aa m^ m a th a m^ 
นาย	n aa j^ 
นายก	n aa j o k^ 
นายกรัฐมนตรี	n aa j o k^ r a t^ th a m o n^ tr ii 
นายจ้าง	n aa j^ c aa ng^ 
นายทหาร	n aa j^ th a h aa n^ 
นายทุน	n aa j^ th u n^ 
นายพล	n aa j^ ph o n^ 
นายร้อย	n aa j^ r @@ j^ 
นายแพทย์	n aa j^ ph xx t^ 
นำ	n a m^ 
นำทาง	n a m^ th aa ng^ 
นำมา	n a m^ m aa 
นำเข้า	n a m^ kh a w^ 
นำเสนอ	n a m^ s a n qq 
นิกร	n i k @@ n^ 
นิกสัน	n i k^ s a n^ 
นิกส์	n i k^ 
นิคม	n i kh o m^ 
นิด	n i t^ 
นิดหน่อย	n i t^ n @ j^ 
นิดเดียว	n i t^ d iia w^ 
นิติบัญญัติ	n i t i b a n^ j a t^ 
นิติภาวะ	n i t i ph aa w a 
นิติศาสตร์	n i t^ t i s aa t^ 
นิทรรศการ	n i th a t^ s a k aa n^ 
นิทาน	n i th aa n^ 
นิธิ	n i th i 
นิพนธ์	n i ph o n^ 
นิพพาน	n i p^ ph aa n^ 
นิมนต์	n i m o n^ 
นิมิตหมาย	n i m i t^ m aa j^ 
นิยม	n i j o m^ 
นิยาม	n i j aa m^ 
นิยาย	n i j aa j^ 
นิรันดร์	n i r a n^ 
นิรันศักดิ์	n i r a n^ s a k^ 
นิราศ	n i r aa t^ 
นิวยอร์ค	n i w^ j @@ k^ 
นิวเคลียร์	n i w^ khl iia 
นิสัย	n i s a j^ 
นิสิต	n i s i t^ 
นิเวศวิทยา	n i w ee t^ w i t^ th a j aa 
นิ่ง	n i ng^ 
นี่	n ii 
นี่เอง	n ii z ee ng^ 
นี่แหละ	n ii l x 
นี้	n ii 
นึก	n v k^ 
นึกคิด	n v k^ kh i t^ 
นึกถึง	n v k^ th v ng^ 
นุกูล	n u k uu n^ 
นุวัดติวงศ์	n u w a t^ t i w o ng^ 
นุ่ง	n u ng^ 
นุ่มนวล	n u m^ n uua n^ 
นุ่มนิ่ม	n u m^ n i m^ 
นเรศวร	n a r ee s uua n^ 
นโยบาย	n a j oo b aa j^ 
น่ะ	n a 
น่า	n aa 
น่ากลัว	n aa kl uua 
น่าคิด	n aa kh i t^ 
น่าจะ	n aa c a 
น่าดู	n aa d uu 
น่าฟัง	n aa f a ng^ 
น่ารัก	n aa r a k^ 
น้อง	n @@ ng^ 
น้อม	n @@ m^ 
น้อย	n @@ j^ 
น้อยเนื้อต่ำใจ	n @@ j^ n vva t a m^ c a j^ 
น้า	n aa 
น้ำ	n aa m^ 
น้ำกาม	n aa m^ k aa m^ 
น้ำดื่ม	n aa m^ d vv m^ 
น้ำตาล	n aa m^ t aa n^ 
น้ำมัน	n a m^ m a n^ 
น้ำมัน	n aa m^ m a n^ 
น้ำมันดิบ	n aa m^ m a n^ d i p^ 
น้ำลาย	n aa m^ l aa j^ 
น้ำหนัก	n a m^ n a k^ 
น้ำหนึ่ง	n aa m^ n v ng^ 
น้ำเสีย	n aa m^ s iia 
น้ำเสียง	n aa m^ s iia ng^ 
น้ำใจ	n aa m^ c a j^ 
บก	b o k^ 
บก.	b @@ k @@ 
บกพร่อง	b o k^ phr @ ng^ 
